Time,0.13,0.06,0.03,0.02,0.01,0.004,0.002,0.001,0,0.13std,0.06std,0.03std,0.02std,0.01std,0.004std,0.002std,0.001std,0std
0,4.89E-08,4.00E-08,4.24E-08,4.71E-08,4.52E-08,6.06E-08,4.27E-08,6.01E-08,4.35E-08,5.25E-09,1.04E-08,1.26E-08,1.06E-08,5.07E-09,1.97E-08,1.13E-08,2.57E-09,4.44E-09
10.06666667,6.31E-08,5.95E-08,5.10E-08,4.94E-08,5.02E-08,5.53E-08,4.19E-08,6.04E-08,4.45E-08,1.70E-08,5.72E-10,1.63E-08,8.34E-09,6.63E-09,1.30E-08,9.43E-09,2.33E-09,4.80E-09
20.08333333,1.23E-07,1.01E-07,7.77E-08,6.84E-08,5.29E-08,5.28E-08,3.99E-08,4.69E-08,3.92E-08,2.48E-08,1.96E-08,1.53E-08,1.18E-08,1.02E-08,1.77E-08,4.13E-09,1.01E-08,4.57E-09
30.06666667,2.87E-07,2.26E-07,1.65E-07,1.24E-07,8.62E-08,6.65E-08,4.46E-08,4.73E-08,3.52E-08,4.85E-08,4.00E-08,2.92E-08,2.37E-08,1.79E-08,2.39E-08,4.55E-09,1.78E-09,2.84E-09
40.08333333,5.35E-07,4.25E-07,3.20E-07,2.24E-07,1.41E-07,9.38E-08,5.08E-08,4.36E-08,3.65E-08,8.28E-08,7.15E-08,4.75E-08,3.64E-08,1.71E-08,1.53E-08,9.40E-09,4.44E-09,4.52E-09
50.08333333,8.61E-07,7.01E-07,5.33E-07,3.72E-07,2.25E-07,1.35E-07,6.22E-08,4.69E-08,2.87E-08,1.02E-07,8.86E-08,7.08E-08,5.59E-08,2.90E-08,1.74E-08,6.71E-09,9.37E-09,2.19E-09
60.06666667,1.22E-06,1.01E-06,7.82E-07,5.42E-07,3.21E-07,1.82E-07,7.39E-08,4.97E-08,2.72E-08,1.26E-07,1.05E-07,7.44E-08,6.05E-08,3.82E-08,3.36E-08,8.93E-09,6.49E-09,2.42E-09
70.08333333,1.57E-06,1.33E-06,1.05E-06,7.32E-07,4.32E-07,2.42E-07,9.61E-08,5.26E-08,2.70E-08,1.40E-07,1.15E-07,9.87E-08,8.00E-08,3.73E-08,3.39E-08,7.76E-09,3.37E-09,1.83E-09
80.06666667,1.92E-06,1.66E-06,1.33E-06,9.39E-07,5.78E-07,3.23E-07,1.24E-07,6.41E-08,2.86E-08,1.34E-07,1.17E-07,1.02E-07,9.00E-08,4.61E-08,4.80E-08,1.30E-08,4.48E-09,3.18E-09
90.06666667,2.23E-06,1.98E-06,1.61E-06,1.17E-06,7.10E-07,3.90E-07,1.42E-07,6.74E-08,2.33E-08,1.68E-07,1.36E-07,1.32E-07,1.01E-07,5.65E-08,3.78E-08,1.08E-08,6.37E-09,3.39E-09
100.0833333,2.63E-06,2.36E-06,1.94E-06,1.38E-06,8.16E-07,4.47E-07,1.66E-07,7.45E-08,2.32E-08,1.81E-07,1.39E-07,1.27E-07,9.42E-08,4.67E-08,5.52E-08,1.24E-08,4.59E-09,1.24E-09
110.0666667,2.99E-06,2.69E-06,2.18E-06,1.53E-06,9.06E-07,5.04E-07,1.89E-07,8.34E-08,2.00E-08,1.68E-07,1.34E-07,1.31E-07,8.99E-08,6.20E-08,4.57E-08,1.27E-08,5.63E-09,3.71E-09
120.0666667,3.26E-06,2.91E-06,2.35E-06,1.63E-06,9.90E-07,5.74E-07,2.16E-07,9.33E-08,1.89E-08,1.29E-07,1.34E-07,1.38E-07,9.02E-08,5.43E-08,6.14E-08,1.41E-08,7.17E-09,2.46E-09
130.0833333,3.48E-06,3.05E-06,2.48E-06,1.75E-06,1.11E-06,6.54E-07,2.50E-07,1.04E-07,1.85E-08,1.69E-07,1.13E-07,1.26E-07,9.40E-08,5.62E-08,6.62E-08,1.69E-08,6.17E-09,1.84E-09
140.0666667,3.56E-06,3.16E-06,2.61E-06,1.90E-06,1.24E-06,7.63E-07,2.89E-07,1.22E-07,1.87E-08,1.21E-07,1.13E-07,1.16E-07,8.72E-08,6.43E-08,7.44E-08,2.01E-08,7.86E-09,8.78E-10
150.0833333,3.65E-06,3.27E-06,2.75E-06,2.05E-06,1.37E-06,8.69E-07,3.28E-07,1.36E-07,2.13E-08,1.16E-07,1.16E-07,1.22E-07,8.08E-08,6.78E-08,8.69E-08,2.02E-08,9.93E-09,2.29E-09
160.0833333,3.76E-06,3.42E-06,2.91E-06,2.21E-06,1.50E-06,9.66E-07,3.68E-07,1.51E-07,2.00E-08,1.32E-07,1.09E-07,1.35E-07,8.14E-08,7.83E-08,9.07E-08,2.23E-08,9.38E-09,1.17E-09
170.0666667,3.88E-06,3.59E-06,3.09E-06,2.38E-06,1.63E-06,1.07E-06,4.09E-07,1.68E-07,2.04E-08,1.54E-07,1.20E-07,1.35E-07,8.52E-08,7.94E-08,1.08E-07,2.67E-08,1.36E-08,1.47E-09
180.0833333,4.07E-06,3.77E-06,3.27E-06,2.54E-06,1.77E-06,1.20E-06,4.59E-07,1.87E-07,2.00E-08,1.90E-07,1.21E-07,1.41E-07,1.06E-07,8.50E-08,1.22E-07,2.82E-08,1.28E-08,2.67E-09
190.0833333,4.23E-06,3.95E-06,3.45E-06,2.70E-06,1.94E-06,1.33E-06,5.17E-07,2.12E-07,2.08E-08,1.87E-07,1.17E-07,1.48E-07,9.80E-08,1.07E-07,1.30E-07,3.37E-08,1.48E-08,1.80E-09
200.0666667,4.39E-06,4.12E-06,3.63E-06,2.90E-06,2.11E-06,1.45E-06,5.76E-07,2.39E-07,2.34E-08,1.62E-07,1.19E-07,1.53E-07,9.32E-08,1.20E-07,1.32E-07,3.73E-08,1.69E-08,1.65E-09
210.0833333,4.56E-06,4.29E-06,3.80E-06,3.11E-06,2.27E-06,1.55E-06,6.31E-07,2.62E-07,2.44E-08,2.08E-07,1.20E-07,1.53E-07,1.24E-07,1.17E-07,1.41E-07,3.67E-08,1.67E-08,1.89E-09
220.0833333,4.70E-06,4.45E-06,4.01E-06,3.31E-06,2.43E-06,1.65E-06,6.83E-07,2.88E-07,2.48E-08,1.86E-07,1.23E-07,1.79E-07,1.28E-07,1.21E-07,1.46E-07,4.12E-08,1.84E-08,2.38E-09
230.0666667,4.86E-06,4.63E-06,4.23E-06,3.53E-06,2.56E-06,1.72E-06,7.29E-07,3.10E-07,2.74E-08,2.67E-07,1.07E-07,1.80E-07,1.15E-07,1.28E-07,1.44E-07,4.16E-08,1.83E-08,2.72E-09
240.0833333,5.03E-06,4.79E-06,4.41E-06,3.67E-06,2.66E-06,1.77E-06,7.67E-07,3.30E-07,2.82E-08,2.67E-07,1.06E-07,1.76E-07,1.25E-07,1.30E-07,1.44E-07,4.11E-08,1.78E-08,2.29E-09
250.0666667,5.14E-06,4.94E-06,4.62E-06,3.80E-06,2.73E-06,1.81E-06,7.98E-07,3.49E-07,2.99E-08,2.41E-07,1.18E-07,1.94E-07,1.27E-07,1.30E-07,1.43E-07,4.37E-08,1.96E-08,2.87E-09
260.0833333,5.33E-06,5.11E-06,4.77E-06,3.93E-06,2.79E-06,1.85E-06,8.28E-07,3.66E-07,3.13E-08,2.70E-07,1.17E-07,2.19E-07,1.08E-07,1.38E-07,1.50E-07,4.60E-08,2.15E-08,2.77E-09
270.0666667,5.49E-06,5.28E-06,4.95E-06,4.03E-06,2.85E-06,1.88E-06,8.56E-07,3.83E-07,3.28E-08,2.63E-07,1.14E-07,1.86E-07,1.18E-07,1.30E-07,1.47E-07,4.71E-08,2.10E-08,3.16E-09
280.0666667,5.62E-06,5.43E-06,5.09E-06,4.08E-06,2.87E-06,1.89E-06,8.80E-07,3.99E-07,3.50E-08,2.50E-07,9.69E-08,1.76E-07,1.10E-07,1.38E-07,1.51E-07,4.66E-08,2.16E-08,3.48E-09
290.0833333,5.75E-06,5.55E-06,5.18E-06,4.14E-06,2.89E-06,1.92E-06,9.01E-07,4.12E-07,3.67E-08,2.86E-07,1.03E-07,2.00E-07,1.09E-07,1.37E-07,1.49E-07,5.13E-08,2.31E-08,3.44E-09
300.0666667,5.91E-06,5.68E-06,5.23E-06,4.17E-06,2.89E-06,1.93E-06,9.21E-07,4.26E-07,3.81E-08,2.77E-07,8.75E-08,2.32E-07,1.34E-07,1.56E-07,1.53E-07,5.49E-08,2.49E-08,3.25E-09
310.0833333,5.99E-06,5.79E-06,5.33E-06,4.19E-06,2.90E-06,1.95E-06,9.43E-07,4.41E-07,3.96E-08,3.37E-07,7.73E-08,1.99E-07,1.41E-07,1.57E-07,1.57E-07,5.47E-08,2.64E-08,3.45E-09
320.0833333,6.15E-06,5.87E-06,5.37E-06,4.19E-06,2.90E-06,1.96E-06,9.60E-07,4.52E-07,4.17E-08,3.09E-07,9.99E-08,2.34E-07,1.74E-07,1.58E-07,1.58E-07,5.78E-08,2.80E-08,3.32E-09
330.0666667,6.23E-06,5.91E-06,5.38E-06,4.23E-06,2.92E-06,1.97E-06,9.77E-07,4.63E-07,4.31E-08,3.42E-07,1.57E-07,2.53E-07,1.44E-07,1.50E-07,1.61E-07,5.91E-08,2.79E-08,3.54E-09
340.0833333,6.30E-06,5.98E-06,5.43E-06,4.23E-06,2.91E-06,1.98E-06,9.91E-07,4.73E-07,4.40E-08,3.58E-07,1.61E-07,2.59E-07,1.59E-07,1.57E-07,1.73E-07,6.14E-08,2.93E-08,3.88E-09
350.0833333,6.37E-06,6.03E-06,5.46E-06,4.23E-06,2.91E-06,1.99E-06,1.01E-06,4.83E-07,4.50E-08,3.65E-07,1.73E-07,2.91E-07,1.52E-07,1.68E-07,1.68E-07,6.38E-08,2.99E-08,3.89E-09
360.0833333,6.44E-06,6.02E-06,5.53E-06,4.26E-06,2.90E-06,2.00E-06,1.02E-06,4.92E-07,4.68E-08,3.65E-07,1.90E-07,2.53E-07,1.33E-07,1.69E-07,1.72E-07,6.17E-08,3.24E-08,4.19E-09
370.0666667,6.49E-06,6.07E-06,5.55E-06,4.24E-06,2.90E-06,2.02E-06,1.04E-06,5.01E-07,4.79E-08,3.75E-07,2.17E-07,2.31E-07,1.34E-07,1.76E-07,1.83E-07,6.25E-08,3.49E-08,3.96E-09
380.0833333,6.55E-06,6.15E-06,5.58E-06,4.24E-06,2.90E-06,2.03E-06,1.05E-06,5.08E-07,4.88E-08,3.63E-07,1.78E-07,2.60E-07,1.52E-07,1.72E-07,1.83E-07,6.59E-08,3.63E-08,4.32E-09
390.0666667,6.65E-06,6.24E-06,5.61E-06,4.24E-06,2.91E-06,2.05E-06,1.07E-06,5.17E-07,5.04E-08,3.15E-07,1.44E-07,2.45E-07,1.59E-07,1.67E-07,1.86E-07,6.56E-08,3.63E-08,4.46E-09
400.0666667,6.69E-06,6.25E-06,5.64E-06,4.23E-06,2.91E-06,2.07E-06,1.08E-06,5.24E-07,5.19E-08,3.42E-07,1.50E-07,2.54E-07,1.38E-07,1.82E-07,1.93E-07,6.61E-08,4.06E-08,4.65E-09
410.0833333,6.75E-06,6.34E-06,5.66E-06,4.22E-06,2.92E-06,2.09E-06,1.09E-06,5.37E-07,5.35E-08,3.36E-07,1.16E-07,2.77E-07,1.46E-07,1.80E-07,1.89E-07,6.71E-08,4.48E-08,4.73E-09
420.0833333,6.81E-06,6.39E-06,5.66E-06,4.21E-06,2.92E-06,2.11E-06,1.10E-06,5.50E-07,5.47E-08,3.43E-07,1.19E-07,2.76E-07,1.48E-07,1.82E-07,1.95E-07,6.66E-08,4.61E-08,5.83E-09
430.0666667,6.82E-06,6.37E-06,5.66E-06,4.19E-06,2.91E-06,2.11E-06,1.11E-06,5.57E-07,5.57E-08,3.51E-07,1.59E-07,3.02E-07,1.41E-07,1.88E-07,1.87E-07,7.58E-08,4.83E-08,6.13E-09
440.0833333,6.88E-06,6.45E-06,5.71E-06,4.17E-06,2.92E-06,2.16E-06,1.14E-06,5.69E-07,5.76E-08,3.65E-07,1.32E-07,2.95E-07,1.70E-07,1.98E-07,2.06E-07,7.47E-08,4.96E-08,5.74E-09
450.0833333,6.93E-06,6.49E-06,5.73E-06,4.15E-06,2.94E-06,2.19E-06,1.15E-06,5.78E-07,5.89E-08,3.51E-07,1.25E-07,2.90E-07,1.74E-07,1.81E-07,2.01E-07,7.55E-08,5.06E-08,6.95E-09
460.0666667,6.98E-06,6.51E-06,5.74E-06,4.16E-06,2.96E-06,2.21E-06,1.16E-06,5.88E-07,6.08E-08,3.65E-07,1.38E-07,2.83E-07,1.61E-07,1.85E-07,2.03E-07,7.82E-08,5.41E-08,6.94E-09
470.0833333,7.03E-06,6.55E-06,5.73E-06,4.15E-06,2.96E-06,2.24E-06,1.18E-06,5.99E-07,6.22E-08,3.71E-07,1.50E-07,2.76E-07,1.67E-07,1.87E-07,2.08E-07,7.89E-08,5.79E-08,7.11E-09
480.0666667,7.06E-06,6.58E-06,5.77E-06,4.15E-06,2.98E-06,2.27E-06,1.19E-06,6.12E-07,6.34E-08,3.64E-07,1.41E-07,2.78E-07,1.65E-07,1.84E-07,2.12E-07,8.27E-08,6.04E-08,7.74E-09
